sCode,noPeriode,sDescription
AM-HP,125,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HP,1491,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HP,1492,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HR,108,LUN à VEN 9h-21h et SAM DIM 9h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AM-HR,332,LUN à VEN 9h-21h et SAM DIM 9h-18h EXCEPTÉ PÉRIODES INTERDITES (micro/original)
AP-HP,125,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AP-HP,1491,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AP-HP,1492,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (parco) 
AQ-HP,125,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (QIM) 
AQ-HP,1491,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (QIM) 
AQ-HP,1492,LUN à VEN 8h-23h SAM 9h-23h DIM 13h-18h EXCEPTÉ PÉRIODES INTERDITES (QIM) 
AU-JQ,1493,LUN à DIM 8 h - 20 h EXCEPTÉ PÉRIODES INTERDITES
CC-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AA,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AC,34,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CC-AC,125,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CC-AK,28,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-AK,111,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-AK,125,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-AW,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,125,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-QT,28,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-QT,31,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-QT,110,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-QT,125,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-RN,28,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-RN,30,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-RN,110,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-RN,125,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-SK,28,LUN À VEN 9 h  - 14 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-SK,110,LUN À VEN 9 h  - 14 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-SK,125,LUN À VEN 9 h  - 14 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-SK,188,LUN À VEN 9 h  - 14 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-SX,108,LUN À VEN 9 h - 21 h  SAM et DIM 9 h - 18 h
CC-SX,332,LUN À VEN 9 h - 21 h  SAM et DIM 9 h - 18 h
CH-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AA,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AB,28,LUN À VEN 9 h 30 - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AB,33,LUN À VEN 9 h 30 - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AB,109,LUN À VEN 9 h 30 - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AB,125,LUN À VEN 9 h 30 - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AC,34,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CH-AC,125,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CH-AD,28,LUN À VEN 9 h - 16 h 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AD,32,LUN À VEN 9 h - 16 h 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AD,110,LUN À VEN 9 h - 16 h 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AD,125,LUN À VEN 9 h - 16 h 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AE,108,LUN À VEN 9 h - 21 h SAM 9 h - 17 h DIM 13 h - 17h
CH-AE,127,LUN À VEN 9 h - 21 h SAM 9 h - 17 h DIM 13 h - 17h
CH-AE,166,LUN À VEN 9 h - 21 h SAM 9 h - 17 h DIM 13 h - 17h
CH-AI,28,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AI,32,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AI,109,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AI,125,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AJ,27,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AJ,28,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AJ,109,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AJ,125,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AK,28,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AK,111,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AK,125,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AV,28,LUN À VEN 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AV,112,LUN À VEN 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AV,125,LUN À VEN 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-AW,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AW,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AW,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AW,125,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CH-AX,28,LUN ET MAR ET MER 12 h - 18 h JEU ET VEN 12 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AX,71,LUN ET MAR ET MER 12 h - 18 h JEU ET VEN 12 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AX,72,LUN ET MAR ET MER 12 h - 18 h JEU ET VEN 12 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AX,125,LUN ET MAR ET MER 12 h - 18 h JEU ET VEN 12 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-AY,28,LUN À VEN 17H30 - 21H SAMEDI 9H - 18H DIMANCHE 13H - 18H
